Player ID,Name,First Name,Last Name,Team,Position,Secondary Position,Status,Draft Rank,Games Played,Starts,Tries Scored,Try Assists,Line Breaks,Line Break Assists,Defenders Beaten,Metres Gained,Offloads,Tackles Made,Tackles Missed,Turnovers Forced,Interceptions,50:22s,Penalties Conceded,Errors,Lineouts Won,Lineout Steals,Lineout Errors,Scrums Won,Conversions,Conversions Missed,Penalty Goals,Penalty Goals Missed,Drop Goals,Drop Goals Missed,Yellow Cards,Red Cards
C.Fihaki,C. Fihaki,Chay,Fihaki,CRU,OB,,Starting,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.Ratima,C. Ratima,Cortez,Ratima,CHI,HB,,Benched,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.Waqa,E. Waqa,Etonia,Waqa,DRU,LF,LK,,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Devery,J. Devery,Jacob,Devery,HUR,HO,,,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.Alaalatoa,A. Alaalatoa,Allan,Alaalatoa,BRU,PR,,Back,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L.Jacobson,L. Jacobson,Luke,Jacobson,CHI,LF,,Starting,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Ofa,T. Ofa,Tevita,Ofa,MOP,OB,CE,Starting,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.Slater,B. Slater,Bradley,Slater,BLU,HO,,Starting,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Vaa'i,T. Vaa'i,Tupou,Vaa'i,CHI,LK,,Starting,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.Sullivan,B. Sullivan,Bailyn,Sullivan,HUR,CE,OB,,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.Canakaivata,E. Canakaivata,Elia,Canakaivata,DRU,LF,,,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Renata,M. Renata,Marcel,Renata,BLU,PR,,Benched,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Sanerivi,M. Sanerivi,Millennium,Sanerivi,MOP,HO,,Starting,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Williams,J. Williams,Jeremy,Williams,FOR,LK,,Starting,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Reilly,T. Reilly,Triston,Reilly,WAR,OB,,Benched,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Frost,N. Frost,Nick,Frost,BRU,LK,,Rested,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F.Fineanganofo,F. Fineanganofo,Fehi,Fineanganofo,HUR,OB,CE,,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F.Fakatava,F. Fakatava,Folau,Fakatava,HIG,HB,,Starting,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Papali'i,D. Papali'i,Dalton,Papali'i,BLU,LF,,Starting,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.Grace,C. Grace,Cullen,Grace,CRU,LF,LK,Knee - TBC,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Flanders,D. Flanders,Devan,Flanders,HUR,LF,,,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.Dobbins,E. Dobbins,Ethan,Dobbins,WAR,HO,,Starting,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Murray,M. Murray,Motikiai,Murray,DRU,LF,,,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Campbell,J. Campbell,Jock,Campbell,RED,OB,,Starting,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.Shalfoon,A. Shalfoon,Antonio,Shalfoon,CRU,LK,,Starting,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.Cameron,B. Cameron,Brett,Cameron,HUR,FH,,,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.Paenga-Amosa,B. Paenga-Amosa,Brandon,Paenga-Amosa,FOR,HO,,Starting,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Walton,J. Walton,Joey,Walton,WAR,CE,,Starting,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Brial,J. Brial,Joe,Brial,RED,LF,,Starting,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Robertson,T. Robertson,Tom,Robertson,FOR,PR,,Starting,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Hotham,N. Hotham,Noah,Hotham,CRU,HB,,Starting,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.Ennor,B. Ennor,Braydon,Ennor,CRU,CE,,Starting,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.Lakai,P. Lakai,Peter,Lakai,HUR,LF,,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.Iose,B. Iose,Brayden,Iose,HUR,LF,,,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Rakuro,T. Rakuro,Taniela,Rakuro,DRU,OB,,,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B.McAlister,B. McAlister,Brodie,McAlister,CHI,HO,,Hand - Round 4,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Williams,T. Williams,Tamaiti,Williams,CRU,PR,,,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Perofeta,S. Perofeta,Stephen,Perofeta,BLU,FH,OB,Starting,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.Gordon,C. Gordon,Carter,Gordon,RED,FH,,Out,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.de Groot,E. de Groot,Ethan,de Groot,HIG,PR,,Starting,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F.Hurley,F. Hurley,Finn,Hurley,HIG,OB,,Foot - 5 weeks,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.Samu,P. Samu,Pete,Samu,WAR,LF,,Starting,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
